ID,KWAAD,DEPRE,DROOV,ANGST,ONTSP,BLIJ
13,15,23,19,16,15,68
13,12,12,17,10,78,61
13,13,7,21,8,34,46
13,15,18,14,9,59,62
13,17,9,17,19,75,80
13,10,11,10,19,49,61
13,40,18,17,18,71,82
13,14,1,10,5,80,71
14,21,11,26,24,75,87
14,12,19,20,20,81,70
14,18,23,16,17,81,89
14,8,16,20,9,92,92
14,13,14,14,19,26,65
14,14,12,14,12,56,60
14,8,12,16,12,87,82
14,12,12,14,12,86,57
14,9,16,13,13,12,84
14,17,15,18,11,54,56
14,19,17,17,18,63,74
14,19,26,19,17,73,78
14,17,16,19,19,72,74
14,21,26,20,23,89,58
14,34,19,24,18,50,66
14,53,47,54,49,69,54
14,42,20,30,20,57,53
14,20,19,25,22,73,25
14,22,42,26,22,32,38
14,20,26,20,26,61,66
14,23,26,31,29,39,38
14,22,25,17,23,68,88
14,19,18,20,18,24,80
14,17,54,53,16,52,17
14,37,54,39,35,56,51
14,19,79,22,24,66,27
14,26,22,15,19,78,71
14,54,54,48,51,48,47
14,24,24,19,23,68,69
14,44,43,22,24,23,46
14,28,25,20,22,59,67
14,26,19,7,8,76,52
14,47,24,25,54,53,54
14,22,25,23,30,74,69
14,22,26,19,26,74,89
14,20,54,29,24,71,82
14,19,79,55,28,71,36
14,34,33,27,35,31,63
14,19,20,19,24,75,78
14,33,23,51,52,30,56
14,26,23,20,26,68,66
14,25,21,45,46,73,46
14,27,26,23,25,64,58
14,33,38,25,21,43,27
14,16,28,21,26,20,8
14,25,28,40,23,48,44
14,20,28,24,40,12,29
14,33,26,22,21,66,80
14,37,35,40,35,36,36
14,61,47,51,61,61,27
14,78,83,64,50,21,15
14,27,23,52,47,47,58
14,49,49,58,51,52,54
14,31,68,22,19,21,56
15,1,24,22,12,30,39
15,4,1,1,1,80,81
15,1,24,14,2,40,40
15,11,1,7,4,27,23
15,90,1,1,1,80,81
15,22,17,22,27,24,19
15,15,40,19,16,54,15
15,1,15,17,13,56,63
15,2,1,6,1,59,35
15,1,5,1,1,68,70
15,5,9,7,5,15,13
15,10,16,20,8,38,29
15,6,11,11,6,66,74
15,17,12,15,9,78,70
15,1,7,6,9,88,95
15,7,8,9,7,93,8
15,2,10,5,10,77,82
15,17,18,14,12,19,58
15,64,16,5,15,60,13
15,7,13,6,10,25,47
15,18,21,12,18,69,37
15,31,18,10,23,46,51
15,17,1,13,19,89,77
15,9,13,19,15,26,35
15,22,5,18,17,21,78
15,25,20,22,21,58,75
15,15,10,9,8,42,56
15,19,16,19,21,19,23
15,35,17,11,18,42,11
15,11,12,30,14,29,33
15,18,10,17,19,69,18
15,15,16,14,7,77,78
15,9,19,14,12,47,46
15,19,1,21,12,40,70
15,12,22,57,21,11,23
15,28,9,20,18,9,26
15,19,1,20,32,24,31
15,1,22,26,22,18,12
15,12,8,14,5,54,52
15,7,12,29,14,12,22
15,17,8,11,12,35,26
15,6,7,7,21,76,68
15,14,16,11,25,68,75
15,14,25,19,18,22,68
15,11,1,12,19,21,37
15,14,4,13,17,15,18
15,15,12,13,5,26,28
15,9,11,16,9,93,79
15,9,9,13,10,66,57
16,4,7,7,10,75,59
16,25,5,18,13,39,26
16,3,8,8,5,85,71
16,8,5,3,5,73,76
16,5,5,5,6,74,75
16,3,3,6,5,93,82
16,6,3,1,3,85,88
16,1,5,2,5,84,92
16,5,4,5,18,83,80
16,27,4,8,5,36,59
16,5,4,5,5,89,75
16,4,5,62,57,78,41
16,26,5,16,40,43,58
16,5,3,4,4,82,72
16,1,5,2,5,80,97
16,1,2,4,4,77,80
16,5,5,3,4,74,77
16,29,8,1,1,24,74
16,15,1,2,5,81,82
16,2,1,4,1,91,83
16,5,3,3,4,76,70
16,1,3,1,1,75,82
16,3,1,4,5,100,74
16,3,2,3,1,56,82
16,3,3,1,1,76,75
16,1,1,2,2,78,78
16,1,4,2,1,73,75
16,12,1,4,4,72,80
16,33,1,1,2,79,75
16,5,1,3,2,59,92
16,1,1,4,1,74,73
16,1,1,1,34,68,79
16,1,5,1,4,72,81
16,1,1,1,2,75,96
16,1,1,1,1,78,80
16,1,1,1,1,72,85
16,19,1,26,1,82,66
16,1,1,1,25,61,60
16,62,5,1,1,66,51
16,39,1,9,3,69,35
16,24,2,14,2,62,82
16,23,1,17,1,62,60
16,17,4,2,1,61,71
16,39,1,15,4,66,62
16,14,1,2,3,83,66
17,16,6,34,5,71,82
17,68,25,75,29,44,19
17,35,11,29,33,19,25
17,31,14,29,28,40,62
17,7,27,12,5,81,77
17,18,25,76,29,82,69
17,9,19,8,10,91,62
17,16,11,23,1,85,72
17,9,12,20,12,76,65
17,46,20,65,2,30,10
17,28,11,35,6,35,29
17,10,41,79,38,51,23
17,98,88,96,60,20,9
17,13,57,58,24,74,33
17,20,22,49,32,60,38
17,33,26,25,19,50,68
17,14,26,54,36,73,25
17,29,64,70,34,28,26
17,9,8,7,7,80,94
17,30,26,46,47,72,69
17,1,9,10,8,72,96
17,14,19,23,21,78,82
17,12,9,26,1,57,43
17,11,7,54,13,62,40
17,5,7,52,13,45,30
17,16,14,31,12,61,33
17,37,63,47,51,17,27
17,38,79,84,33,11,20
17,15,29,63,19,38,37
17,17,20,23,16,48,58
17,15,32,46,15,54,26
17,14,8,20,6,54,46
17,1,22,21,19,70,52
17,1,7,61,19,75,79
17,24,15,21,31,85,50
17,16,3,13,11,80,92
17,29,16,20,12,68,77
17,61,37,36,39,55,60
17,6,27,53,1,39,31
17,27,9,38,15,12,69
17,30,44,49,43,21,35
17,1,1,19,1,75,77
17,6,24,79,26,16,27
17,23,3,75,15,86,66
17,15,19,15,31,52,70
17,3,21,41,5,61,42
17,19,29,40,20,56,51
17,1,13,44,19,78,82
17,19,13,53,16,69,68
